Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
BEGiN,BEGiN,Cold,"Consumer Goods, learning - estudo",350,e-learning,wladimir.barros@paylivre.com,http://www.beginlearning.co,http://www.linkedin.com/company/begin-learning,https://www.facebook.com/learnwithhomer,https://twitter.com/LearnWithHomer,"","",New York,United States,10001,"New York, United States, 10001","","","BEGiN creates engaging and effective learning products to bring children the highest quality education. Our flagship brand, HOMER, is the proven early learning program for kids 2-8.","Fastly CDN, Route 53, Flywheel, Varnish, Mobile Friendly, WordPress.org, Google Tag Manager",98700000,Series C,5000000,2020-10-01,10000000,"",627d6c35c2bba300011df180,"","BEGiN is an award-winning education company bringing high-quality learning to kids globally. Our mission is to give children the best start possible through a comprehensive portfolio of digital, physical, and instructor-led learning experiences that build foundational skills and a lifelong love of learning. 

BEGiN's brands include HOMER, KidPass, codeSpark Academy, Little Passports and Mommy Nearest. We are backed by the most recognized names in early childhood development, including LEGO Ventures, Sesame Workshop, and Gymboree Play & Music.

LEARN MORE ABOUT OUR BRANDS
codeSpark Academy: https://codespark.com/
HOMER: https://learnwithhomer.com/
KidPass: https://kidpass.com/
Little Passports: https://www.littlepassports.com/
Mommy Nearest: https://www.mommynearest.com/",2011,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63119445b74d720001caf57d/picture
ExploreLearning,ExploreLearning,Cold,"Consumer Goods, learning - estudo",270,e-learning,wladimir.barros@paylivre.com,http://www.explorelearning.com,http://www.linkedin.com/company/explorelearning,https://www.facebook.com/ExploreLearningK12STEMSolutions,https://twitter.com/ExploreLearning,110 Avon St,Charlottesville,Virginia,United States,22902,"110 Avon St, Charlottesville, Virginia, United States, 22902","math, science, curriculum, simulations, math fact fluency, elearning, education, supplemental materials, education technology",'+1 866-882-4141,We make math and science learning seriously fun | ExploreLearning,"Mimecast, Marketo, Microsoft Office 365, VueJS, Tableau, Heroku, UptimeRobot, Zoho SalesIQ, Hotjar, JQuery 1.11.1, Google Font API, Mobile Friendly, Google Tag Manager, Workday Recruit, WordPress.org, Google Analytics, Nginx, Wistia, F5 BIG-IP, Bootstrap Framework, Vimeo, Ruby On Rails, New Relic, YouTube, Google Play","","","","",17500000,"",627d6c35c2bba300011df183,"","ExploreLearning is a Charlottesville, VA based company that develops online solutions to improve student learning in math and science.

We make Gizmos, the world's largest library of interactive online simulations for math and science education in grades 3-12. See Gizmos on ExploreLearning.com.

We make Reflex, the most powerful solution available for math fact fluency. See Reflex at ReflexMath.com.

We have welcomed Science4Us to our team, it's never too early to learn science! Focused on grades K-2, you can learn more at science4us.com.

ExploreLearning is a member of Cambium Learning Group.

Call us toll free (US & Canada) at 866-882-4141.
Or call +1-434-293-7043.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631c1273bd8ade0001419fcf/picture
Nearpod,Nearpod,Cold,"Consumer Goods, learning - estudo",430,e-learning,wladimir.barros@paylivre.com,http://www.nearpod.com,http://www.linkedin.com/company/nearpod,http://www.facebook.com/nearpod,http://twitter.com/@nearpod,1855 Griffin Road,Dania Beach,Florida,United States,33004,"1855 Griffin Road, Dania Beach, Florida, United States, 33004","education, k-12 education, mobile enterprise, skill assessment, mobile, information technology, mobile learning, elearning, edtech, mobile apps for education, interactive presentations, engaging lessons, classroom collaboration, distance learning, professional development, formative assessment, virtual reality",'+1 305-677-5030,"Real-time insights into student understanding through interactive lessons, interactive videos, gamified learning, formative assessment, and activities -- all in a single platform.","Salesforce, Cloudflare DNS, Mailchimp Mandrill, ExactTarget, Gmail, Google Apps, MailChimp SPF, Microsoft Office 365, Amazon AWS, CloudFlare Hosting, Route 53, Facebook Conversion Tracking, Pardot, StatusPage IO, Zendesk, Google AdSense, reCAPTCHA, Intercom, Google Plus, Google Analytics, Mobile Friendly, Google Font API, Facebook Login (Connect), Google Tag Manager, Google Dynamic Remarketing, Facebook Custom Audiences, iTunes, ShareThis, Facebook Widget, WordPress.org, Bootstrap Framework, Google AdWords Conversion, Hotjar, Google Play, Google Remarketing, New Relic",37300000,Series B,21000000,2017-03-01,65000000,"",627d6bde9ac54a0001cd1cf0,7372,"Nearpod provides real-time insights into student understanding through interactive lessons, interactive videos, gamification & activities - all in a single platform. We  know teachers are critical to students' learning and to their social and emotional well-being. This is why our core belief is to empower teachers, not replace them.

We believe teaching is the most important job in the world, and so, our team of former teachers, engineers, product and content developers do everything they can to build products driven by teacher feedback and honoring all student backgrounds and abilities. 

We are committed to creating products and company culture representative of our values around equity and inclusion. Nearpod is growing and we will continue to build diverse teams of passionate people located across the globe.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63183edebe86230001e9bbc4/picture
Linda,Linda,Cold,learning - estudo,400,e-learning,"",http://www.lynda.com,http://www.linkedin.com/company/lynda-com,"",http://twitter.com/Compilr,"","","","","","","saas, education, developer tools, collaboration, enterprise software, internet, information technology, software, web development, elearning, software training, creative skills, design skills, web design, video tutorials, 3d software training, business skills, photography training, audio tutorials, cad training",'+1 805-477-3900,"Learn software, creative, and business skills to achieve your personal and professional goals. Join today to get access to thousands of courses.","NSOne, Gmail, Marketo, Google Apps, Microsoft Office 365, Zuora, Bootstrap Framework, ASP.NET, Citrix NetScaler, Mobile Friendly, Google Analytics, AddThis",289000000,Series B,186000000,2015-01-14,260000000,"",62a79ae06111a4000152ee95,"8200, 8200","Lynda is an online education company that offers video courses in software, creative and business skills.",1995,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b7738543c3a0001044738/picture
Coursera Course Certificates,Coursera Course Certificates,Cold,learning - estudo,110,e-learning,"","",http://www.linkedin.com/company/coursera-verified,http://www.facebook.com/coursera,http://www.twitter.com/coursera,381 East Evelyn Avenue,Mountain View,California,United States,94041,"381 East Evelyn Avenue, Mountain View, California, United States, 94041","mobile, education, content, media, information technology",'+1 650-963-9884,"Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Join Coursera for free and transform your career with degrees, certificates, Specializations, & MOOCs in data science, computer science, business, and dozens of other topics.","Salesforce, Route 53, Amazon SES, Mailchimp Mandrill, Postmark, Sendgrid, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, Backbone JS Library, StatusPage IO, Marketo, iCIMS, Lever, WordPress.org, Nginx, Linkedin Marketing Solutions, Google Play, Bootstrap Framework, Mobile Friendly, Google Tag Manager, Gauges, Google Font API, Friendbuy, Multilingual, YouTube, iTunes",622119972,Other,519090000,2021-03-01,447358000,"",63220b082937d000edf82c2a,8200,Coursera is an educational technology company that offers open online courses from a network of universities and educational organizations.,2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62ff48ee705bf5000116415f/picture
Busuu,Busuu,Cold,"Consumer Goods, learning - estudo",300,e-learning,wladimir.barros@paylivre.com,http://www.busuu.com,http://www.linkedin.com/company/busuu-com,http://www.facebook.com/busuucom,http://twitter.com/busuu_jobs,50 Finsbury Square,"",England,United Kingdom,EC2A 1HD,"50 Finsbury Square, England, United Kingdom, EC2A 1HD","education, private social networking, edtech, social media, consumer internet, internet, information technology, elearning, language learning, learning, development, training",'+44 20 3301 9955,Study a new language online with Busuu's award-winning courses. Learn together with native speakers in Busuu's community.,"Route 53, Microsoft Office 365, Zendesk, Amazon AWS, KISSmetrics, Taboola Newsroom, Chartbeat, Hubspot, Amazon SES, Netlify, React Redux, Google Analytics, Ruby On Rails, Google Tag Manager, Mobile Friendly, Bootstrap Framework, Optimizely, Nginx, Google Play, Facebook Login (Connect), Google Font API, Linkedin Marketing Solutions, Vidyard, Trustpilot",15440380,Other,"",2020-05-01,38500000,"",627d6be69a8c57000129f3b7,8200,"Busuu's vision is to inspire the world to learn together. We are the world's largest online community for language learning, with more than 120 million users. 

Through courses powered by AI and interactions with native speakers, our platform offers the best way to learn a language.

Busuu's award-winning platform is also used by hundreds of companies and institutions around the world. From better student and employee engagement to faster business growth, Busuu's online language training is designed to deliver results. 

Busuu was co-founded in 2008 by Adrian Hilti and Bernhard Niesner, who both shared a passion for languages and were frustrated by traditional methods of language learning. 

Today, Busuu is one of the top 50 EdTech companies in the world, and we have won numerous awards for our innovation and impact in language learning.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bb734e39af1000175d945/picture
VitalSource,VitalSource,Cold,"Consumer Goods, learning - estudo",300,e-learning,wladimir.barros@paylivre.com,http://www.vitalsource.com,http://www.linkedin.com/company/vitalsource-technologies,https://www.facebook.com/IntrepidLearning,https://twitter.com/intrepidls,227 Fayetteville Street,Raleigh,North Carolina,United States,27601,"227 Fayetteville Street, Raleigh, North Carolina, United States, 27601","training, education, ebooks, software, educational services",'+1 855-200-4146,"","Salesforce, Cloudflare DNS, Mailchimp Mandrill, Sendgrid, Outlook, Marketo, Microsoft Office 365, CloudFlare Hosting, MX Logic, StatusPage IO, Hubspot, Zendesk, CloudFlare, React Redux, Facebook Login (Connect), Linkedin Widget, Facebook Widget, Google Tag Manager, Linkedin Login, Linkedin Marketing Solutions, Mobile Friendly, Ruby On Rails","","","","",60000000,2,627d6c1506b02f0001d73f5c,8200,"VitalSource is the leading education technology solutions provider committed to helping partners create, deliver, and distribute affordable, accessible, and impactful learning experiences worldwide. As a recognized innovator in the digital course materials market, VitalSource is best known for partnering with more than 1,000 publishers and resellers to deliver extraordinary learning experiences to millions of active users globally– and today we're also powering new, cutting-edge technologies designed to optimize teaching and learning for maximum results.",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b96182ccd7b00015173fd/picture
Employment and Recruitment in Morocco,Employment and Recruitment in Morocco,Cold,learning - estudo,120,e-learning,"","",http://www.linkedin.com/company/livres-gratuits-pdf,https://www.facebook.com/emploi.ma,"",ط و 1,Kenitra,Rabat-Salé-Kénitra,Morocco,"","ط و 1, Kenitra, Rabat-Salé-Kénitra, Morocco","","","Emploi et Recrutement au Maroc: 15 ans d´expérience au service des entreprises et candidats pour vos recherches d´offres d´emploi, jobs et CV au Maroc.","Cloudflare DNS, Bootstrap Framework, YouTube, Apache, AddThis, Google Font API, WordPress.org","","","","","","",63220b082937d000edf82c3b,"","cette page est destinée pour tous les amoureux de livres 
demandez n'importe quel livre en format de PDF :)",2018,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62fbe1cffdb38c000174bf98/picture
MasterClass,MasterClass,Cold,"Consumer Goods, learning - estudo",740,e-learning,wladimir.barros@paylivre.com,http://www.masterclass.com,http://www.linkedin.com/company/masterclassinc,https://www.facebook.com/masterclassofficial,http://twitter.com/@masterclass,475 Brannan Street,San Francisco,California,United States,94107,"475 Brannan Street, San Francisco, California, United States, 94107","digital media, education, entertainment industry, consumer internet, internet, information technology, elearning, technology, production",(855) 981-8208,"","Salesforce, Cloudflare DNS, Amazon SES, Gmail, Google Apps, MailChimp SPF, Microsoft Office 365, Braintree, Zendesk, CloudFlare Hosting, Segment.io, Amplitude, Stripe, Greenhouse.io, Hubspot, CloudFlare, Pardot, Atlassian Cloud, Zapier, OneTrust, GRIN, React Redux",459500000,Other,"",2022-04-01,160000000,"",627d6bbd2e76930001446bc1,"8200, 8200","Launched in 2015, MasterClass is the streaming platform where anyone can learn from the world's best. With an annual membership, subscribers get unlimited access to instructors and classes across a wide range of subjects including Arts & Entertainment, Business, Design & Style, Sports & Gaming, Writing and more. 

Step into Anna Wintour's office, Ron Finley's garden and Neil Gaiman's writing retreat. Get inspired by RuPaul, perfect your pitch with Shonda Rhimes, and discover your inner negotiator with Chris Voss. 

Each class features about 20 video lessons, at an average of 10 minutes per lesson. You can learn on your own terms — in bite-sized pieces or binge it all at once. Cinematic visuals and close-up, hands-on demonstrations make you feel one-on-one with the instructors, while the downloadable workbooks help reinforce your learning. 

With MasterClass, you can stream thousands of lessons anywhere, anytime, on mobile, desktop and TV.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bf920f0ddc20001c32e0e/picture
Cengage Group,Cengage Group,Cold,"Consumer Goods, learning - estudo",4400,e-learning,wladimir.barros@paylivre.com,http://www.cengagegroup.com,http://www.linkedin.com/company/cengage-learning,https://www.facebook.com/CengageHigherEd/,"",4 Boulevard Ter,Boston,Massachusetts,United States,02134-4306,"4 Boulevard Ter, Boston, Massachusetts, United States, 02134-4306","higher education learning solutions, higher education, edtech, online skills, reskilling, workforce skills, research, digital learning, secondary education, english language teaching, hybrid learning, education technology",'+1 617-289-7700,We’re sorry! It looks like the Cengage Solution you’re trying to access has been retired. Please contact your Sales Representative for more information.,"CloudFlare Hosting, Akamai DNS, Microsoft Office 365, Amazon AWS, Eloqua, Salesforce, OneTrust, Vidyard, Backbone JS Library, Zendesk, WP Engine, Amazon SES, Adobe Marketing Cloud, Salesforce Live Agent, React Router, React Redux, Google Tag Manager, IBM Websphere, Mobile Friendly, ASP.NET, Microsoft-IIS, iTunes, AddThis, Google Play, F5 BIG-IP, Bing Ads, Workday Recruit, Hotjar, Apache, WordPress.org, JW Player, Signal by BrightTag, Google Font API, Optimizely",25000,Angel,25000,2016-08-31,1371600000,"",627d6bbd2e76930001446bcb,"",Cengage Group is a Kentucky-based education technology company that provides solutions such as educational content and online courses for students and corporates.,1903,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631af3764e8e1100015a8602/picture
O'Reilly Media,O'Reilly Media,Cold,"Consumer Goods, learning - estudo",830,e-learning,wladimir.barros@paylivre.com,http://www.oreilly.com,http://www.linkedin.com/company/oreilly-media,http://www.facebook.com/OReilly,https://twitter.com/oreillymedia,1005 Gravenstein Highway North,Sebastopol,California,United States,95472,"1005 Gravenstein Highway North, Sebastopol, California, United States, 95472","advertising, consumer internet, internet, information technology, publishing, conferences, research, online services, online media, elearning, ebooks, online training, data, programming, design, iot, web, webops, security, futurism, learning, ai, bots, futursim, technology, economy",'+1 707-827-7000,"Now, next, and beyond: Tracking need-to-know trends at the intersection of business and technology","Akamai, Salesforce, Akamai DNS, Amazon SES, Mailchimp Mandrill, Postmark, Gmail, Marketo, Google Apps, Microsoft Office 365, Segment.io, Taboola Newsroom, Chartbeat, Brightcove, Heroku, Datadog, Drift, OneTrust, Appcues, React Redux, Visual Website Optimizer, Google Play, WordPress.org, Google Font API, Apache, Paypal, Mobile Friendly, reCAPTCHA, Kaltura, Google Tag Manager, Google Analytics Ecommerce Tracking, iTunes, Varnish, Django","","","","",200000000,"",627d6bd6a12a700001f24578,7372,O’Reilly is a learning company that helps individuals & enterprises build skills to succeed in a world defined by technology-driven transformation.,1978,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631bb69ffadd4c00010e562f/picture
Learning A-Z,Learning A-Z,Cold,"Consumer Goods, learning - estudo",790,e-learning,wladimir.barros@paylivre.com,http://www.learninga-z.com,http://www.linkedin.com/company/learning-a-z,https://facebook.com/LearningAtoZ?ref=ts,https://twitter.com/LearningAtoZ,1840 E River Rd,Tucson,Arizona,United States,85718-5838,"1840 E River Rd, Tucson, Arizona, United States, 85718-5838","education technology, teaching materials, reading programs, leveled reading, teaching products, blended learning, online learning, reading products, student activities, kids ebooks, science products",'+1 866-889-3729,Learning A-Z's literacy and science products for Pre-K-6 kids empowers teachers to improve children's skills with blended learning. Start your free trial today!,"Mimecast, Marketo, Pardot, Microsoft Office 365, Zendesk, SparkPost, Atlassian Cloud, OneTrust, Vimeo, Google Analytics, Facebook Custom Audiences, Visual Website Optimizer, Google Tag Manager, Facebook Widget, AddThis, ASP.NET, Facebook Login (Connect), Walkme, Mobile Friendly, F5 BIG-IP","","","","",7263000,"",627d6bd6a12a700001f24581,8200,"Learning A-Z is a literacy-focused PreK–6 education technology provider. Our products blend traditional teacher-led instruction with technology-enabled resources to make teaching more effective and efficient, practice more accessible and personalized, assessment more strategic and automated, and learning more informed and proactive. 

Our suite of products includes: Raz-Plus, Reading A-Z, Raz-Kids, Headsprout, Science A-Z, Writing A-Z, and Vocabulary A-Z.

Learning A-Z resources are used by more than 7 million students in more than 170 countries. Learning A-Z is a business unit of Cambium Learning Group, Inc. based in Dallas, Texas.",2002,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63203b99bc090a0001fd97f3/picture
Rosalind,Rosalind,Cold,learning - estudo,4,e-learning,"",http://www.rosalind.info,http://www.linkedin.com/company/rosalind,https://www.facebook.com/pages/Rosalind/430419800314316,https://twitter.com/ProjectRosalind,"","","","","","",programming education & bioinformatics,"","","Microsoft Azure Hosting, Mobile Friendly, Google Analytics, Nginx","","","","",245000,"",62a79af06111a40001530398,"","Rosalind is an online project for learning bioinformatics through computational problem solving.  Problems are arranged into a learning tree that builds up users' biological and computational knowledge concurrently.

Rosalind also can be used for automated homework testing and will feature in Coursera's first course on bioinformatics.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6315b609037b9d0001145e3a/picture
BYJU'S,BYJU'S,Cold,learning - estudo,49000,e-learning,wladimir.barros@paylivre.com,http://www.byjus.com,http://www.linkedin.com/company/byjus,https://www.facebook.com/byjuslearningapp/,https://twitter.com/BYJUS,4/1 Bannerghatta Main Road,Bengaluru,Karnataka,India,560029,"4/1 Bannerghatta Main Road, Bengaluru, Karnataka, India, 560029","ecommerce, k-12 education, edtech, higher education",'+91 98800 31619,"Explore all the online learning programs that BYJU'S offers in the USA for students of all ages. Check out the Pre-K to Grade 12 curriculum for subjects like Math, Coding, Reading, Arts and Music!","Sendgrid, Gmail, Google Apps, CloudFlare Hosting, Amazon AWS, Amplitude, CloudFlare, Shopify Product Reviews, Vercel, React Redux, DoubleClick Floodlight, reCAPTCHA, Facebook Login (Connect), YouTube, Ruby On Rails, LeadSquared, Bootstrap Framework, WordPress.org, LiveChat, Hotjar, Apache, Varnish, Nginx, Google Analytics, iTunes, Facebook Custom Audiences, Facebook Widget, Vimeo, DoubleClick, BoldChat, Google Play, CrazyEgg, Google Font API, Mobile Friendly, Google Tag Manager",7544350000,Other,800000000,2022-03-01,316426000,"",63220a50579e75000180be6f,8200,"BYJU'S is a global ed-tech company, providing highly adaptive, engaging and effective learning solutions to more than 150 million students around the world. Founded in India in 2011, BYJU'S mission is to make high-quality learning accessible to students everywhere.

The BYJU'S family of brands includes Disney-BYJU'S Early Learn, BYJU'S Future School, Epic!, Osmo, Tynker, Toppr and WhiteHat Jr, along with our beloved flagship product BYJU'S – The Learning App. Together, BYJU'S solutions support Pre-K – 12 education and a wide range of competitive exams. 

BYJU'S delivers a world-class learning experience with tools that sit at the cross-section of mobile, interactive content and personalized learning methodologies. BYJU'S geography-agnostic solutions and 12,000+ teachers make learning engaging, with visual and contextual programs that adapt to the unique learning style, skill level and pace of each student. In addition, we have innovative partnerships with some of the world's leading companies, including Disney and Google, to drive engagement and help even more students become active and lifelong learners. 

BYJU'S is backed by blue-chip investors including the Chan Zuckerberg Initiative, Sequoia Capital, Bond Capital, Silver Lake, BlackRock, Sands Capital Management, Alkeon Capital Management, Sofina, Verlinvest, Tencent, Prosus (previously Naspers Ventures), CPPIB, General Atlantic, Tiger Global, Qatar Investment Authority, Owl Ventures, Lightspeed Venture Partners, Times Internet, Aarin Capital and IFC. Since 2017, we have completed more than 15 acquisitions, including companies in the U.S., UK, Austria, India and Singapore. 

A 2021 Time 100 Most Influential Company, BYJU'S is headquartered in India, with operations in more than 21 countries globally and learning programs in multiple languages. For additional information, please visit www.byjus.com.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b88ef29ffd3000163b95c/picture
Free Online Courses With Certificates,Free Online Courses With Certificates,Cold,learning - estudo,340,e-learning,"",http://www.onlinecourses.ooo,http://www.linkedin.com/company/freeonlinecourseswithcertificates,"","","","",California,United States,"","California, United States","","","","Cloudflare DNS, CloudFlare Hosting","","","","","","",63220b082937d000edf82c2d,"","",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6316510d385bc30001b9b71c/picture
Free courses & books,Free courses & books,Cold,learning - estudo,130,e-learning,"",http://www.freecoursesandbooks.net,http://www.linkedin.com/company/free-courses-books,"","","",Cairo,Cairo Governorate,Egypt,"","Cairo, Cairo Governorate, Egypt","","",كورسات مجانية - كتب مجانية - منح مجانية,"Cloudflare DNS, CloudFlare Hosting, Mobile Friendly, Google AdSense, Google Font API, Google Tag Manager, WordPress.org","","","","","","",63220b082937d000edf82c35,"",book and course .article . photo,"",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62de975e33646a00016741ca/picture
PlayMatch,PlayMatch,Cold,learning - estudo,34,e-learning,"",http://www.playmatch.gg,http://www.linkedin.com/company/playmatch,https://www.facebook.com/PlayMatchBR/,https://twitter.com/PlayMatchBr,"","","",Guernsey,"",Guernsey,"esports, educacao, games, startup, gamificacao","","","Cloudflare DNS, Sendgrid, Gmail, Google Apps, CloudFlare Hosting, LearnDash, BuddyPress, Google Font API, WordPress.org, ASP.NET, Facebook Custom Audiences, reCAPTCHA, Mobile Friendly, Google Tag Manager, Bootstrap Framework, YouTube, Hotjar, Apache","","","","","","",6279afd2ce42410001fd8761,"","Somos a maior plataforma estudantil de esports e games do Brasil.

Promovemos as maiores competições e ligas escolares de esports do Brasil, além de programas pedagógicos utilizando os maiores games do mundo como base educacional.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631ca7068128ed0001b1444d/picture
Extramarks,Extramarks,Cold,"joao, learning - estudo",5100,e-learning,wladimir.barros@paylivre.com,http://www.extramarks.com,http://www.linkedin.com/company/extramarks,https://www.facebook.com/extramarkseducation,https://twitter.com/extramarks,"",Noida,Uttar Pradesh,India,201301,"Noida, Uttar Pradesh, India, 201301","smart study pack, k12 education, elearning, online tutoring, smart learning solutions, smart study tab, classroom tablet program, smart study app, premium personal tutor service, bagless classroom technology",911204175311,"Extramarks is one of the leaders in K12, JEE and NEET courses. It is trusted by over 10,000 schools across India. Start your preparation with Online Courses & Live Classes for CBSE, ICSE, State Boards, JEE & NEET today!","Salesforce, Route 53, Amazon SES, Outlook, Microsoft Office 365, Amazon AWS, Google Cloud Hosting, React Redux, React, YouTube, Google Play, Google Tag Manager, Facebook Login (Connect), JQuery 2.1.1, Facebook Widget, Facebook Custom Audiences, Twitter Advertising, Bootstrap Framework, Mobile Friendly, Apache","",Other,"",2011-11-01,45000000,"",62852925dd236b0001bfa9f2,8200,"Extramarks is among the fastest growing educational technology companies, with a global footprint. The company has a huge presence in India, South Africa, Indonesia and the Middle East. Extramarks has revolutionized the way education is perceived and delivered, custom creating learning solutions for the 21st century learner.
We are a team of exceptional academics, technology experts and visualizers, who help simplify textbook learning through rich media based modules.
Our efforts are supported by a 2000 strong sales team, present pan-India, which helps us reach directly to the final consumer. We have recently pressed the pedal to increase the sales momentum, opening offices in close to 70 cities, reaching hitherto unexplored geographies and people. 
Extramarks was founded in 2007 by Mr. Atul Kulshrestha, the visionary and transformative mind who has been leading the disruptions in the edtech domain from the front. In the past decade, a family of more than 3500 employees has come together to carry forth the Extramarks mission. 
Our product range is huge! From pre-school, to extensive K12 coverage, going over to higher studies and competitive exams, we have it all. 
We are also disrupting the coaching segment through the Extramarks Smart Coaching Centres, present in 17 cities with 23 centres. These centres provide coaching for IIT-JEE, NEET and Foundation courses, through latest classroom technology and India's top faculty. 
Students love learning with us! Our learners exceed 6 million in number and they spend an average of 97 minutes per day on our platform.
Working at Extramarks provides the unique opportunity to become a part of this learning revolution taking place in India, where more and more students are shifting towards the digital mode of education.
Ideate with us. Visualise with us. Create with us. Grow with us. 
Reach out to us.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631b2f379e70e300019fbdb3/picture
Corporate Finance Institute® (CFI),Corporate Finance Institute®,Cold,learning - estudo,300,e-learning,"",http://www.corporatefinanceinstitute.com,http://www.linkedin.com/company/corporate-finance-institute-cfi-,https://www.facebook.com/corporatefinanceinstitute.CFI/,https://twitter.com/cfi_education,750 W Pender St,Vancouver,British Columbia,Canada,V6C 2T8,"750 W Pender St, Vancouver, British Columbia, Canada, V6C 2T8","finance elearning, corporate finance, elearning, business valuation, excel modeling, excel model, corporate finance institute, valuation modeling, finance certifications, excel, financial planning analysis, financial model, cfi, valuation, finance careers, equity research, wealth management, financial modeling, fintech, data science, investment banking, business intelligence",'+1 800-817-7539,"Join millions of students and learn financial modeling, commercial banking, capital markets, and data analysis. Enroll and advance your career with CFI.","Cloudflare DNS, Gmail, Google Apps, Microsoft Office 365, Helpscout, Zendesk, CloudFlare Hosting, Datadog, BambooHR, StatusPage IO, Hubspot, reCAPTCHA, Google Analytics, Google Font API, Linkedin Marketing Solutions, Hotjar, Ruby On Rails, Facebook Custom Audiences, Google Tag Manager, Vimeo, Wistia, Google Analytics Ecommerce Tracking, DoubleClick Conversion, WordPress.org, HeapAnalytics, Gravity Forms, Google Dynamic Remarketing, Bing Ads, Facebook Widget, Google Remarketing, Google AdWords Conversion, Bootstrap Framework, Mobile Friendly, Facebook Login (Connect), Mixpanel, Google AdSense, Visual Website Optimizer","",Venture (Round not Specified),"",2021-03-01,10000000,"",63220b082937d000edf82c37,"","Corporate Finance Institute® (CFI) is the the leading, accredited provider of online courses, certifications and Microsoft Office productivity tools for finance professionals. We've delivered online training to millions of professionals working in investment banks, accounting firms, and operating companies around the world.

CFI is the official provider of the Financial Modeling & Valuation Analyst (FMVA)®, Commercial Banking & Credit Analyst (CBCA)®, Capital Markets & Securities Analyst (CMSA)®, and Business Intelligence & Data Analyst (BIDA)™ certifications.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62297e9ae8a9550001e08190/picture
Vector Solutions,Vector Solutions,Cold,"Consumer Goods, learning - estudo",850,e-learning,wladimir.barros@paylivre.com,http://www.vectorsolutions.com,http://www.linkedin.com/company/vectorsolutions,https://www.facebook.com/pg/Vector-Solutions-116126292325483/posts/,https://twitter.com/VectorPerform,4890 W Kennedy Blvd,Tampa,Florida,United States,33609-2524,"4890 W Kennedy Blvd, Tampa, Florida, United States, 33609-2524","curated web, corporate training, compliance training, continuing education, instructional design, learning management system, professional development, performance management, online courses, ehs management, training management, enterprise software, risk communications, workforce management, operational readiness",'+1 813-207-0012,"Vector Solutions delivers suites of services and products for learning, operational readiness, workforce management, and risk management to many industries.","Salesforce, Gmail, Outlook, Google Apps, Microsoft Office 365, WP Engine, Hubspot, Salesforce Live Agent, React Redux, WordPress.org, YouTube, Google Tag Manager, Bootstrap Framework, Wistia, Google Font API, Mobile Friendly",24000000,Venture (Round not Specified),24000000,2011-08-02,100000000,"",627d6bf7c6883700011a93b0,7371,"Vector Solutions is the leading provider of impactful technology solutions dedicated to driving safer, smarter, better decision-making in the world's most critical industries. Embedded into daily workflows to drive improvements in compliance, safety, performance, and preparedness, our software includes training management, industry-focused online course libraries, EHS management, workforce scheduling, risk communication, operational readiness, and more.  Vector's unique combination of information and technology - delivered when and where it is needed - is integral to our more than 34 thousand clients looking to achieve better outcomes and safeguard lives.  For more information, visit www.vectorsolutions.com.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/631c0ad210496600014ec9da/picture
